timestamp,model,prompt_set,concept_term,B1_official_name,B2_kind,B3_category_type,B4_immediate_broader,B5_grandparents,B6_immediate_narrower,B7_peer_terms
2026-03-05T15:44:11.502896,claude-sonnet-4-5-20250929,set2,Sepsis,Sepsis,Disease or Syndrome / Pathologic Function,Fully defined,Systemic inflammatory response syndrome|Infection,Pathologic process|Disease,Neonatal sepsis|Severe sepsis|Septic shock|Urosepsis|Puerperal sepsis,Bacteremia|Viremia|Fungemia|Systemic infection
2026-03-05T15:44:15.169914,claude-sonnet-4-5-20250929,set2,Malignant,Malignant (qualifier value),Qualifier value,Primitive,Pathological (qualifier value)|Severity (attribute),Clinical finding (finding)|Attribute (attribute),Malignant neoplasm|Malignant tumor|Malignant lesion,Benign (qualifier value)|Premalignant (qualifier value)|Borderline malignancy (qualifier value)
2026-03-05T15:44:18.262844,claude-sonnet-4-5-20250929,set2,Benign,Benign,Qualifier value / Clinical finding descriptor,Primitive,Non-malignant|Self-limiting|Course (attribute),Clinical course|Severity|Clinical attribute,Benign neoplasm|Benign tumor|Benign lesion|Benign condition,Malignant|Pre-malignant|Indeterminate|Acute|Chronic
2026-03-05T15:44:22.553458,claude-sonnet-4-5-20250929,set2,Abscess,Abscess,Pathological anatomical structure / morphologically abnormal structure,Fully defined,Inflammatory disorder|Purulent inflammation,Disease|Pathologic process,Cutaneous abscess|Intra-abdominal abscess|Brain abscess|Lung abscess|Peritonsillar abscess|Liver abscess|Breast abscess|Perianal abscess,Cellulitis|Phlegmon|Empyema|Furuncle|Carbuncle
2026-03-05T15:44:26.291525,claude-sonnet-4-5-20250929,set2,Edema,Edema,Pathologic function / Finding,Fully defined,Disorder of body fluid|Abnormal fluid accumulation,Pathological process|Clinical finding,Peripheral edema|Pulmonary edema|Cerebral edema|Macular edema|Angioedema|Lymphedema|Myxedema,Dehydration|Effusion|Ascites|Anasarca
2026-03-05T15:44:29.879919,claude-sonnet-4-5-20250929,set2,Intubation,,,,,,,
2026-03-05T15:44:33.808793,claude-sonnet-4-5-20250929,set2,Biopsy,Biopsy,Diagnostic procedure,Fully defined,Specimen collection procedure|Sampling procedure|Pathology procedure,Diagnostic procedure|Medical procedure|Healthcare procedure,Needle biopsy|Excisional biopsy|Incisional biopsy|Endoscopic biopsy|Bone marrow biopsy|Skin biopsy|Liver biopsy|Fine needle aspiration biopsy,Cytology procedure|Aspiration procedure|Tissue examination|Culture collection
2026-03-05T15:44:37.299940,claude-sonnet-4-5-20250929,set2,Venipuncture,Venipuncture,Procedure,Fully defined,Puncture of blood vessel|Vascular access procedure,Incision procedure|Surgical procedure,Venipuncture of upper limb|Venipuncture of lower limb|Peripheral venipuncture|Femoral venipuncture,Arterial puncture|Capillary blood sampling|Cannulation of vein
2026-03-05T15:44:41.079055,claude-sonnet-4-5-20250929,set2,Laparotomy,Laparotomy,Surgical procedure,Fully defined,Incision of abdominal wall|Surgical incision procedure,Incision procedure|Surgical procedure,Exploratory laparotomy|Emergency laparotomy|Staging laparotomy|Median laparotomy|Paramedian laparotomy,Thoracotomy|Craniotomy|Arthrotomy|Colpotomy|Cystotomy
2026-03-05T15:44:44.658493,claude-sonnet-4-5-20250929,set2,Opening of chest,Thoracotomy,Surgical procedure,Fully defined,Incision of thorax|Operation on chest wall,Operation on trunk|Surgical procedure,Anterolateral thoracotomy|Posterolateral thoracotomy|Median sternotomy|Clamshell thoracotomy,Opening of abdomen|Craniotomy|Opening of mediastinum|Pericardiotomy
2026-03-05T15:44:47.939923,claude-sonnet-4-5-20250929,set2,Cholecystectomy,Cholecystectomy,Surgical procedure,Fully defined,Excision of gallbladder|Biliary tract operation,Operation on digestive system|Surgical procedure,Laparoscopic cholecystectomy|Open cholecystectomy|Partial cholecystectomy|Total cholecystectomy,Appendectomy|Splenectomy|Gastrectomy|Colectomy
2026-03-05T15:44:50.801843,claude-sonnet-4-5-20250929,set2,Cardiopulmonary resuscitation,Cardiopulmonary resuscitation,Procedure,Fully defined,Emergency procedure|Resuscitation,Procedure|Therapeutic procedure,Advanced cardiac life support|Basic life support|Neonatal resuscitation|Pediatric advanced life support,Defibrillation|Airway management|Emergency medical treatment|Trauma resuscitation
2026-03-05T15:44:54.997449,claude-sonnet-4-5-20250929,set2,Triage,Triage,Process / Procedure,Fully defined,Patient assessment|Priority assignment process|Medical sorting procedure,Clinical evaluation|Healthcare process|Medical decision-making,Emergency department triage|Disaster triage|Telephone triage|Battlefield triage|Mass casualty triage,Diagnosis|Patient admission|Medical screening|Clinical examination|Treatment planning
2026-03-05T15:44:58.410933,claude-sonnet-4-5-20250929,set2,Proximal,Proximal,Spatial qualifier / Anatomical directional term,Primitive,Directional term|Relative positional descriptor,Spatial concept|Anatomical terminology,Proximal third|Proximal half|Proximal end|Proximal portion,Distal|Medial|Lateral|Superior|Inferior|Anterior|Posterior
2026-03-05T15:45:02.104710,claude-sonnet-4-5-20250929,set2,Distal,Distal,Spatial qualifier / Directional term,Primitive,,,Distal third|Distal half|Distal part|Distal portion,Proximal|Medial|Lateral|Anterior|Posterior|Superior|Inferior
2026-03-05T15:45:05.860064,claude-sonnet-4-5-20250929,set2,Chronic,Chronic,Qualifier value,Primitive,,,Chronic persistent|Chronic progressive|Chronic relapsing,Acute|Subacute|Recurrent
2026-03-05T15:45:08.843388,claude-sonnet-4-5-20250929,set2,Determination of prognosis,Determination of prognosis,Procedure,Primitive,Evaluation procedure,Procedure,Determination of poor prognosis|Determination of good prognosis|Determination of guarded prognosis,Determination of diagnosis|Assessment of health status|Determination of health risk|Evaluation of treatment response
2026-03-05T15:45:12.732700,claude-sonnet-4-5-20250929,set2,Anaphylaxis,Anaphylaxis,Disease or Syndrome / Pathologic Function,Fully defined,Hypersensitivity reaction|Immediate hypersensitivity|Allergic reaction|Type I hypersensitivity reaction,Immune system disease|Pathologic process|Immunologic disease,Anaphylactic shock|Biphasic anaphylaxis|Exercise-induced anaphylaxis|Idiopathic anaphylaxis,Angioedema|Urticaria|Serum sickness|Atopy
2026-03-05T15:45:15.260277,claude-sonnet-4-5-20250929,set2,Structure of ischiogluteal bursa of right hip,Structure of ischiogluteal bursa of right hip,Body structure,Fully defined,,,,
2026-03-05T15:45:19.548786,claude-sonnet-4-5-20250929,set2,Does not cut own nails,Does not cut own nails,Observable entity / Clinical finding / Functional limitation,Primitive,Nail care dependency|Self-care deficit|Inability to perform personal hygiene activity,Activities of daily living (ADL) impairment|Self-care limitation|Functional assessment finding,Does not cut own fingernails|Does not cut own toenails,Does not brush own teeth|Does not wash own hair|Does not shave independently|Does not bathe independently|Unable to dress self
2026-03-05T15:45:23.982116,claude-sonnet-4-5-20250929,set2,Laceration of right brachial artery,Laceration of right brachial artery,Clinical finding / Traumatic injury,Fully defined,Laceration of brachial artery|Injury of right brachial artery|Traumatic injury of upper limb artery,Injury of brachial artery|Vascular injury of upper limb|Traumatic vascular injury,Complete laceration of right brachial artery|Partial laceration of right brachial artery,Laceration of left brachial artery|Puncture wound of right brachial artery|Contusion of right brachial artery|Transection of right brachial artery
2026-03-05T15:45:27.849071,claude-sonnet-4-5-20250929,set2,Date sample received in laboratory,Laboratory specimen receipt date,Data element / Temporal attribute,Fully defined,Laboratory specimen date|Specimen handling date|Receipt date,Laboratory data element|Temporal data point|Administrative date,Date specimen accessioned|Date specimen logged|Date specimen registered in laboratory information system,Date specimen collected|Date specimen transported|Date analysis started|Date results reported
2026-03-05T15:45:31.868360,claude-sonnet-4-5-20250929,set2,Autosomal recessive severe congenital neutropenia due to jagunal homolog 1 deficiency,Autosomal recessive severe congenital neutropenia due to jagn1 deficiency,Disease / Disorder,Fully defined,Severe congenital neutropenia|Autosomal recessive disorder,Congenital neutropenia|Genetic disease,,Autosomal recessive severe congenital neutropenia due to G6PC3 deficiency|Autosomal recessive severe congenital neutropenia due to ELANE deficiency|Autosomal recessive severe congenital neutropenia due to HAX1 deficiency|Autosomal recessive severe congenital neutropenia due to VPS45 deficiency
2026-03-05T15:45:36.580633,claude-sonnet-4-5-20250929,set2,Product containing only ezetimibe and rosuvastatin,Product containing only ezetimibe and rosuvastatin,Clinical drug (substance),Fully defined,Product containing ezetimibe and HMG-CoA reductase inhibitor|Product containing precisely two active ingredients,Product containing ezetimibe|Lipid modifying drug product|Pharmaceutical product,Product containing only ezetimibe and rosuvastatin in oral dose form|Product containing exactly ezetimibe 10 mg and rosuvastatin 5 mg|Product containing exactly ezetimibe 10 mg and rosuvastatin 10 mg|Product containing exactly ezetimibe 10 mg and rosuvastatin 20 mg,Product containing only ezetimibe and simvastatin|Product containing only ezetimibe and atorvastatin|Product containing only ezetimibe and pravastatin
2026-03-05T15:45:40.558005,claude-sonnet-4-5-20250929,set2,Alpha>1< anti-trypsin isotype MZ,Alpha-1 antitrypsin phenotype MZ,Laboratory phenotype / Genetic variant classification,Fully defined,Alpha-1 antitrypsin deficiency phenotype|Heterozygous alpha-1 antitrypsin variant,Alpha-1 antitrypsin disorders|Genetic disorders of protease inhibitors,,Alpha-1 antitrypsin phenotype MS|Alpha-1 antitrypsin phenotype SZ|Alpha-1 antitrypsin phenotype MM|Alpha-1 antitrypsin phenotype ZZ|Alpha-1 antitrypsin phenotype SS
2026-03-05T15:45:44.422281,claude-sonnet-4-5-20250929,set2,2-dehydro-3-deoxy-L-pentonate aldolase,2-dehydro-3-deoxy-L-pentonate aldolase,Enzyme,Fully defined,Carbon-carbon lyase|Lyase,Catalytic protein,,2-dehydro-3-deoxy-6-phospho-D-gluconate aldolase|2-dehydro-3-deoxy-phosphogluconate aldolase|4-hydroxy-2-oxoglutarate aldolase|Fructose-bisphosphate aldolase
2026-03-05T15:45:47.636489,claude-sonnet-4-5-20250929,set2,Thiourea,Thiourea,Chemical compound,Fully defined,Thiocarbamide|Organosulfur compound|Urea derivative,Organic compound|Chemical substance,Methylthiourea|Ethylenethiourea|Phenylthiourea|Allylthiourea,Urea|Selenourea|Guanidine|Carbodiimide
2026-03-05T15:45:51.228415,claude-sonnet-4-5-20250929,set2,Protriptyline,Protriptyline,Pharmaceutical substance / Tricyclic antidepressant medication,Fully defined,Tricyclic antidepressant|Dibenzocycloheptene derivative,Antidepressant agent|Psychotropic drug|Organic chemical compound,Protriptyline hydrochloride,Amitriptyline|Nortriptyline|Imipramine|Desipramine|Trimipramine|Doxepin|Clomipramine
2026-03-05T15:45:54.563852,claude-sonnet-4-5-20250929,set2,Use of sling suspension,Use of sling suspension,Procedure,Fully defined,Use of suspension equipment|Assistive device therapy,Physical therapy procedure|Rehabilitation procedure,Use of arm sling suspension|Use of leg sling suspension|Use of pelvic sling suspension,Use of harness suspension|Use of traction equipment|Use of hoist device|Use of transfer equipment
2026-03-05T15:45:58.599857,claude-sonnet-4-5-20250929,set2,Insulin receptor defect,Insulin receptor defect,Disease or Syndrome / Pathologic Function,Primitive,Receptor defect|Insulin resistance syndrome|Genetic disorder of metabolism,Metabolic disease|Genetic disease|Cell signaling disorder,Type A insulin resistance syndrome|Leprechaunism|Rabson-Mendenhall syndrome|Insulin receptor mutation,Growth hormone receptor defect|Androgen receptor defect|LDL receptor defect|Thyroid hormone receptor defect
2026-03-05T15:46:03.074431,claude-sonnet-4-5-20250929,set2,Akinesis of basal anterior segment of left cardiac ventricle,Akinesis of basal anterior segment of left ventricular myocardium,Clinical finding / Disorder,Fully defined,Akinesis of basal segment of left ventricular myocardium|Akinesis of anterior segment of left ventricular myocardium,Akinesis of left ventricular myocardium|Regional wall motion abnormality of left ventricle,,Akinesis of basal anterolateral segment of left ventricular myocardium|Akinesis of basal anteroseptal segment of left ventricular myocardium|Akinesis of basal inferior segment of left ventricular myocardium|Akinesis of basal lateral segment of left ventricular myocardium|Akinesis of basal septal segment of left ventricular myocardium|Akinesis of basal inferolateral segment of left ventricular myocardium
2026-03-05T15:46:07.193264,claude-sonnet-4-5-20250929,set2,Bioterrorist attack,Bioterrorism attack,Event / Hostile action,Fully defined,Terrorist attack|Biological warfare incident|Public health emergency,Armed conflict event|Mass casualty incident|Security threat|Disease outbreak,Anthrax attack|Smallpox attack|Plague attack|Botulinum toxin attack|Viral hemorrhagic fever attack,Chemical terrorist attack|Radiological terrorist attack|Nuclear terrorist attack|Conventional terrorist attack (explosive/armed)|Cyberterrorist attack
2026-03-05T15:46:10.574932,claude-sonnet-4-5-20250929,set2,Rickettsia australis,Rickettsia australis,Bacterial species / Microorganism,Fully defined,,,Rickettsia australis strain specific isolates|Individual Rickettsia australis strains,Rickettsia rickettsii|Rickettsia conorii|Rickettsia prowazekii|Rickettsia typhi|Rickettsia akari|Rickettsia sibirica|Rickettsia japonica
2026-03-05T15:46:14.361405,claude-sonnet-4-5-20250929,set2,Computed tomography 3 dimensional reconstruction,Three-dimensional computed tomography reconstruction,Diagnostic imaging procedure,Fully defined,Computed tomography imaging|Three-dimensional imaging,Diagnostic imaging procedure|Radiographic imaging procedure,Three-dimensional CT angiography|Three-dimensional CT volumetric reconstruction|Surface rendering CT reconstruction|Maximum intensity projection CT,Computed tomography angiography|Spiral computed tomography|Multidetector computed tomography|Cone beam computed tomography
2026-03-05T15:46:19.221387,claude-sonnet-4-5-20250929,set2,Open reduction of fracture of tarsal bone without internal fixation,Open reduction of fracture of tarsal bone without internal fixation,Procedure / Surgical procedure,Fully defined,Open reduction of fracture without internal fixation|Open reduction of fracture of bone of foot,Open reduction of fracture|Reduction of fracture of bone of foot|Surgical procedure on tarsal bone,Open reduction of fracture of calcaneus without internal fixation|Open reduction of fracture of talus without internal fixation|Open reduction of fracture of navicular bone of foot without internal fixation|Open reduction of fracture of cuboid bone without internal fixation|Open reduction of fracture of cuneiform bone without internal fixation,Open reduction of fracture of tarsal bone with internal fixation|Closed reduction of fracture of tarsal bone|Open reduction of fracture of metatarsal bone without internal fixation|Open reduction of fracture of phalanx of foot without internal fixation
2026-03-05T15:46:23.567090,claude-sonnet-4-5-20250929,set2,Identification of antibody to red blood cell antigens from Colton system (International Society of Blood Transfusion 015),Identification of antibody to red blood cell antigens from Colton system (International Society of Blood Transfusion 015),Laboratory procedure,Fully defined,Identification of antibody to red blood cell antigens|Red blood cell antibody identification,Blood group antibody test|Serologic test,Identification of antibody to Colton a antigen|Identification of antibody to Colton b antigen,Identification of antibody to red blood cell antigens from Kell system (International Society of Blood Transfusion 006)|Identification of antibody to red blood cell antigens from Duffy system (International Society of Blood Transfusion 008)|Identification of antibody to red blood cell antigens from Kidd system (International Society of Blood Transfusion 009)|Identification of antibody to red blood cell antigens from Lutheran system (International Society of Blood Transfusion 005)
2026-03-05T15:46:26.753102,claude-sonnet-4-5-20250929,set2,Spirometra houghtonii,Spirometra houghtonii,Species of parasitic cestode (tapeworm),Fully defined,,,,Spirometra mansonoides|Spirometra erinaceieuropaei|Spirometra decipiens|Spirometra ranarum|Spirometra theileri
2026-03-05T15:46:29.795644,claude-sonnet-4-5-20250929,set2,Difficulty preparing feed,Difficulty preparing feed,Observable entity / Clinical finding,Primitive,,,Difficulty preparing infant formula|Difficulty preparing bottle feed|Difficulty preparing enteral feed,Difficulty with feeding infant|Difficulty swallowing|Difficulty chewing|Poor feeding|Refusal to feed
2026-03-05T15:46:33.286883,claude-sonnet-4-5-20250929,set2,Public school,State-funded educational institution,Type of educational institution,Fully defined,School|Government-funded institution,Educational institution|Public sector organization,Public elementary school|Public secondary school|Public high school|State school|Council school,Private school|Charter school|Independent school|Parochial school
2026-03-05T15:46:37.501764,claude-sonnet-4-5-20250929,set2,Assistive electrical shaver adaptor,Assistive electrical shaver adaptor,Assistive device component / Medical device accessory,Fully defined,Assistive device adaptor|Personal care device adaptor|Electrical appliance adaptor,Assistive technology equipment|Electrical adaptors|Medical device accessories,Rotary shaver adaptor for limited grip|Foil shaver adaptor with enlarged handle|Shaver adaptor with strap attachment,Assistive toothbrush adaptor|Assistive hairdryer adaptor|Assistive razor handle adaptor
2026-03-05T15:46:39.715384,claude-sonnet-4-5-20250929,set2,Bathing of skin of free upper limb,Bathing of skin of free upper limb,Procedure,Primitive,,,Bathing of skin of free upper limb using shower|Bathing of skin of free upper limb using bath|Bathing of skin of free upper limb using basin,
2026-03-05T15:46:43.412791,claude-sonnet-4-5-20250929,set2,Primary hyperparathyroidism,Primary hyperparathyroidism,Disease / Disorder,Fully defined,Hyperparathyroidism|Parathyroid gland disorder,Endocrine system disease|Parathyroid disease|Calcium metabolism disorder,Primary hyperparathyroidism due to parathyroid adenoma|Primary hyperparathyroidism due to parathyroid hyperplasia|Primary hyperparathyroidism due to parathyroid carcinoma,Secondary hyperparathyroidism|Tertiary hyperparathyroidism|Hypoparathyroidism
2026-03-05T15:46:47.536267,claude-sonnet-4-5-20250929,set2,Ultrasonography of soft tissue of wrist region,Ultrasonography of soft tissue of wrist region,Diagnostic imaging procedure,Fully defined,Ultrasonography of soft tissue of upper limb|Ultrasonography of wrist region,Ultrasonography of soft tissue|Diagnostic imaging of upper limb|Diagnostic imaging of wrist region,Ultrasonography of soft tissue of volar wrist|Ultrasonography of soft tissue of dorsal wrist|Ultrasonography of carpal tunnel,Ultrasonography of soft tissue of forearm|Ultrasonography of soft tissue of hand|Ultrasonography of soft tissue of elbow region|Ultrasonography of joint of wrist region
2026-03-05T15:46:50.560492,claude-sonnet-4-5-20250929,set2,Standing tolerance,Standing tolerance,Functional capacity measure,Fully defined,Postural tolerance|Physical endurance measure,Functional assessment parameter|Physical capacity,Static standing tolerance|Dynamic standing tolerance|Prolonged standing tolerance,Sitting tolerance|Walking tolerance|Positional tolerance
2026-03-05T15:46:54.401241,claude-sonnet-4-5-20250929,set2,Product containing precisely alverine citrate 120 milligram/1 each conventional release oral capsule,Product containing precisely alverine citrate 120 milligram/1 each conventional release oral capsule,Clinical drug product,Fully defined,Product containing alverine in oral dose form|Product containing precisely alverine citrate 120 milligram/1 each oral capsule,Product containing alverine|Medicinal product,,Product containing precisely alverine citrate 60 milligram/1 each conventional release oral capsule|Product containing precisely alverine citrate 120 milligram/1 each modified release oral capsule|Product containing precisely alverine citrate 120 milligram oral tablet
2026-03-05T15:46:57.572420,claude-sonnet-4-5-20250929,set2,Structure of temporomandibular articulation vein,Structure of temporomandibular articulation vein,Body structure,Fully defined,,,,Structure of anterior auricular vein|Structure of facial vein|Structure of lingual vein|Structure of occipital vein|Structure of palatine vein|Structure of pharyngeal vein|Structure of pterygoid venous plexus|Structure of retromandibular vein|Structure of superficial temporal vein|Structure of superior thyroid vein
2026-03-05T15:47:01.762031,claude-sonnet-4-5-20250929,set2,Closed comminuted fracture of proximal phalanx of finger,Closed comminuted fracture of proximal phalanx of finger,Clinical finding / Disorder,Fully defined,Comminuted fracture of proximal phalanx of finger|Closed fracture of proximal phalanx of finger,Fracture of proximal phalanx of finger|Closed fracture of finger|Comminuted fracture of finger,Closed comminuted fracture of proximal phalanx of thumb|Closed comminuted fracture of proximal phalanx of index finger|Closed comminuted fracture of proximal phalanx of middle finger|Closed comminuted fracture of proximal phalanx of ring finger|Closed comminuted fracture of proximal phalanx of little finger,Open comminuted fracture of proximal phalanx of finger|Closed simple fracture of proximal phalanx of finger|Closed transverse fracture of proximal phalanx of finger|Closed oblique fracture of proximal phalanx of finger|Closed spiral fracture of proximal phalanx of finger
2026-03-05T15:47:05.663271,claude-sonnet-4-5-20250929,set2,Choroidal retinal neovascularization,Choroidal neovascularization,Disease / Pathologic condition,Fully defined,Retinal neovascularization|Choroidal disorder,Vascular disorder of eye|Retinal disorder|Eye disease,Subretinal neovascularization|Type 1 choroidal neovascularization|Type 2 choroidal neovascularization|Type 3 choroidal neovascularization (retinal angiomatous proliferation),Retinal neovascularization|Iris neovascularization|Optic disc neovascularization
2026-03-05T15:47:09.224294,claude-sonnet-4-5-20250929,set2,Microunit/milliliter,Microunit per milliliter,Unit of measure,Fully defined,Unit of catalytic activity concentration|Unit of substance concentration,Unit of concentration|Unit of measure,,Unit per liter|Milliunit per milliliter|Nanounit per milliliter|International unit per milliliter|Enzyme unit per milliliter
2026-03-05T15:47:13.143874,claude-sonnet-4-5-20250929,set2,Unable to use a non-speech system for communication,Inability to use non-speech system for communication,Finding (observable entity) / Clinical finding,Fully defined,Unable to communicate|Difficulty using communication system,Communication disorder|Difficulty performing activity,Unable to use sign language|Unable to use communication board|Unable to use electronic communication device,Unable to use speech for communication|Unable to use written communication|Unable to use gesture for communication
2026-03-05T15:47:16.619633,claude-sonnet-4-5-20250929,set2,Chronic infective pericarditis,Chronic infective pericarditis,Clinical finding / Disease,Fully defined,Infective pericarditis|Chronic pericarditis,Pericarditis|Infectious disease,Chronic bacterial pericarditis|Chronic tuberculous pericarditis|Chronic fungal pericarditis|Chronic viral pericarditis,Acute infective pericarditis|Subacute infective pericarditis|Chronic non-infective pericarditis
2026-03-05T15:47:20.844261,claude-sonnet-4-5-20250929,set2,Accidental poisoning caused by salicylates,Accidental poisoning by salicylates,Clinical finding / Disorder,Fully defined,"Accidental poisoning by drugs, medicaments and biological substances|Poisoning by salicylates",Accidental poisoning|Injury and poisoning,Accidental poisoning by aspirin|Accidental poisoning by acetylsalicylic acid,"Accidental poisoning by aromatic analgesics, not elsewhere classified|Accidental poisoning by pyrazole derivatives|Accidental poisoning by other non-narcotic analgesics"
2026-03-05T15:47:24.298822,claude-sonnet-4-5-20250929,set2,Product containing only nicotinic acid,Product containing only nicotinic acid,Clinical drug (medicinal product),Fully defined,,,Product containing only nicotinic acid in oral dose form|Product containing only nicotinic acid in parenteral dose form,Product containing only nicotinamide|Product containing only inositol nicotinate|Product containing only acipimox
2026-03-05T15:47:28.088158,claude-sonnet-4-5-20250929,set2,Dimethyl-ether propane,"2,2-dimethoxypropane",Chemical compound / organic ether,Fully defined,Acetal|Dialkyl ether|Aliphatic ether,Ether|Organic oxygen compound|Organic compound,None (specific molecular structure),"Dimethoxymethane|Diethoxymethane|1,1-dimethoxyethane|Other acetals and ketals"
2026-03-05T15:47:31.772554,claude-sonnet-4-5-20250929,set2,Nipple sharing technique,Nipple-sparing mastectomy technique,Surgical procedure,Fully defined,Mastectomy technique|Breast-conserving surgical approach,Breast surgery|Oncological surgical procedure,Subcutaneous nipple-sparing mastectomy|Skin-sparing nipple preservation procedure,Skin-sparing mastectomy|Total mastectomy|Modified radical mastectomy
